,m,n,k,emb_type,best_C,train_acc,test_acc
0,1,2,5,svd,0.464158883361278,0.6158503026967529,0.6336633663366337
1,1,2,5,skipgram,0.0359381366380462,0.7352779306549257,0.7574257425742574
2,1,2,5,cbow,21.54434690031885,0.732526141992295,0.7376237623762376
3,1,2,6,svd,278.2559402207126,0.6450192625206385,0.6039603960396039
4,1,2,6,skipgram,0.01,0.7253714914694551,0.7871287128712872
5,1,2,6,cbow,278.2559402207126,0.7242707760044028,0.7376237623762376
6,1,2,7,svd,1000.0,0.7226197028068244,0.693069306930693
7,1,2,7,skipgram,0.01,0.724821133736929,0.7574257425742574
8,1,2,7,cbow,1000.0,0.7281232801320858,0.7376237623762376
9,1,2,8,svd,1000.0,0.6620803522289488,0.6881188118811881
10,1,2,8,skipgram,5.994842503189409,0.7193175564116676,0.7475247524752475
11,1,2,8,cbow,278.2559402207126,0.7396807925151349,0.7128712871287128
12,1,2,9,svd,278.2559402207126,0.6373142542652724,0.6881188118811881
13,1,2,9,skipgram,5.994842503189409,0.717116125481563,0.7326732673267327
14,1,2,9,cbow,1000.0,0.7264722069345074,0.7326732673267327
15,1,2,10,svd,1000.0,0.6103467253714915,0.6584158415841584
16,1,2,10,skipgram,21.54434690031885,0.7116125481563016,0.7425742574257426
17,1,2,10,cbow,278.2559402207126,0.7176664832140892,0.7326732673267327
18,1,3,5,svd,1000.0,0.7798569069895432,0.801980198019802
19,1,3,5,skipgram,278.2559402207126,0.7892129884424877,0.8316831683168316
20,1,3,5,cbow,21.54434690031885,0.7969179966978536,0.8217821782178217
21,1,3,6,svd,1000.0,0.7407815079801872,0.806930693069307
22,1,3,6,skipgram,21.54434690031885,0.7732526141992295,0.8118811881188119
23,1,3,6,cbow,5.994842503189409,0.7930654925701706,0.806930693069307
24,1,3,7,svd,1000.0,0.717116125481563,0.7623762376237624
25,1,3,7,skipgram,21.54434690031885,0.7716015410016511,0.806930693069307
26,1,3,7,cbow,77.42636826811278,0.787011557512383,0.8217821782178217
27,1,3,8,svd,1000.0,0.7281232801320858,0.7128712871287128
28,1,3,8,skipgram,1000.0,0.7495872317006054,0.7673267326732673
29,1,3,8,cbow,77.42636826811278,0.7804072647220693,0.8118811881188119
30,1,3,9,svd,1000.0,0.7066593285635663,0.7277227722772277
31,1,3,9,skipgram,1000.0,0.755641166758393,0.806930693069307
32,1,3,9,cbow,21.54434690031885,0.7837094111172263,0.806930693069307
33,1,3,10,svd,278.2559402207126,0.6940011007154651,0.7326732673267327
34,1,3,10,skipgram,1000.0,0.7484865162355531,0.7970297029702971
35,1,3,10,cbow,77.42636826811278,0.779306549257017,0.8316831683168316
36,1,4,5,svd,5.994842503189409,0.7765547605943863,0.7574257425742574
37,1,4,5,skipgram,21.54434690031885,0.782608695652174,0.806930693069307
38,1,4,5,cbow,5.994842503189409,0.7952669235002752,0.7970297029702971
39,1,4,6,svd,77.42636826811278,0.7749036873968079,0.7623762376237624
40,1,4,6,skipgram,21.54434690031885,0.7787561915244909,0.8118811881188119
