m,n,k,emb_type,best_C,train_acc,test_acc
1,2,5,SVD,3.593813663804626,0.9773906597479616,0.9833333333333332
1,2,5,skipgram,599.4842503189421,0.991812865497076,0.9947643979057592
1,2,5,cbow,599.4842503189421,0.8818713450292398,0.9267015706806284
1,2,6,SVD,3.593813663804626,0.924759080800593,0.9133333333333332
1,2,6,skipgram,46.41588833612782,0.9853801169590644,0.9947643979057592
1,2,6,cbow,46.41588833612782,0.8730994152046784,0.9057591623036648
1,2,7,SVD,46.41588833612782,0.9199406968124536,0.93
1,2,7,skipgram,46.41588833612782,0.9847953216374268,0.9895287958115184
1,2,7,cbow,3.593813663804626,0.843859649122807,0.9109947643979056
1,2,8,SVD,3.593813663804626,0.8776418242491657,0.8733333333333333
1,2,8,skipgram,599.4842503189421,0.980701754385965,0.9736842105263158
1,2,8,cbow,3.593813663804626,0.8152046783625732,0.8263157894736842
1,2,9,SVD,46.41588833612782,0.8598442714126807,0.85
1,2,9,skipgram,46.41588833612782,0.9730994152046784,0.968421052631579
1,2,9,cbow,0.2782559402207126,0.8175438596491228,0.8315789473684211
1,2,10,SVD,599.4842503189421,0.8390804597701149,0.8133333333333334
1,2,10,skipgram,46.41588833612782,0.9766081871345028,0.9736842105263158
1,2,10,cbow,3.593813663804626,0.8099415204678363,0.8105263157894737
1,3,5,SVD,46.41588833612782,0.971830985915493,0.9633333333333334
1,3,5,skipgram,100000.0,0.9982456140350876,0.9947643979057592
1,3,5,cbow,599.4842503189421,0.9818713450292398,0.9738219895287958
1,3,6,SVD,3.593813663804626,0.977761304670126,0.9633333333333334
1,3,6,skipgram,7742.636826811277,0.9964912280701754,0.9947643979057592
1,3,6,cbow,7742.636826811277,0.9643274853801168,0.9633507853403142
1,3,7,SVD,7742.636826811277,0.9799777530589544,0.98
1,3,7,skipgram,599.4842503189421,0.9947368421052633,0.9894736842105264
1,3,7,cbow,599.4842503189421,0.952046783625731,0.9526315789473684
1,3,8,SVD,3.593813663804626,0.985910270671116,0.9933333333333332
1,3,8,skipgram,46.41588833612782,0.9923976608187136,0.9947368421052633
1,3,8,cbow,7742.636826811277,0.9497076023391812,0.9578947368421052
1,3,9,SVD,46.41588833612782,0.989618094178717,0.9933333333333332
1,3,9,skipgram,46.41588833612782,0.9923976608187136,0.9894736842105264
1,3,9,cbow,599.4842503189421,0.939766081871345,0.9526315789473684
1,3,10,SVD,3.593813663804626,0.9833147942157954,0.9866666666666668
1,3,10,skipgram,7742.636826811277,0.9894736842105264,0.9894736842105264
1,3,10,cbow,599.4842503189421,0.9269005847953216,0.963157894736842
1,4,5,SVD,46.41588833612782,0.9936990363232024,0.9933333333333332
1,4,5,skipgram,46.41588833612782,0.9970760233918128,1.0
1,4,5,cbow,599.4842503189421,0.995906432748538,0.9947643979057592
1,4,6,SVD,7742.636826811277,0.9977753058954394,1.0
1,4,6,skipgram,100000.0,1.0,1.0
1,4,6,cbow,599.4842503189421,0.9929824561403509,0.9842105263157894
1,4,7,SVD,599.4842503189421,0.9970337411939192,1.0
1,4,7,skipgram,599.4842503189421,0.9994152046783624,1.0
1,4,7,cbow,7742.636826811277,0.9894736842105264,0.9947368421052633
1,4,8,SVD,7742.636826811277,0.9970337411939192,1.0
1,4,8,skipgram,7742.636826811277,0.9964912280701754,0.9947368421052633
1,4,8,cbow,46.41588833612782,0.9842105263157894,0.9894736842105264
1,4,9,SVD,7742.636826811277,0.9977753058954394,1.0
1,4,9,skipgram,46.41588833612782,0.9935672514619884,0.9947368421052633
