emb_type,m,n,k,cohesion-lit-gpt-p-val,cohesion-lit-bot-p-val,separation-lit-gpt-p-val,separation-lit-bot-p-val,RS-lit-gpt-p-val,RS-lit-bot-p-val,RMSSTD-lit-gpt-p-val,RMSSTD-lit-bot-p-val
svd,1,5,6,1.1670190924156637e-142,0.0,3.9273497519371823e-147,0.0,6.218681406145127e-67,1.0313411176002208e-126,8.014542298527862e-143,0.0
svd,1,5,7,3.038784792312566e-144,0.0,1.5191915475671868e-144,0.0,1.6472368786300445e-65,8.208483614831223e-132,1.7459249373681652e-144,0.0
svd,1,5,8,1.2685624992814682e-144,0.0,7.019443504437294e-144,0.0,3.0116214798876367e-69,2.8259973761795466e-130,6.423759472121588e-145,0.0
svd,1,5,9,2.9857202367776515e-144,0.0,5.638961399875605e-144,0.0,8.397819180321734e-77,7.156220213840072e-142,1.2245870593333761e-144,0.0
svd,1,5,10,6.121624412831793e-144,0.0,1.003752742108113e-143,0.0,2.997651647071148e-81,2.4500296060321664e-150,1.982997101751812e-144,0.0
svd,1,6,5,6.621607473240616e-142,0.0,1.2124186611323537e-150,0.0,4.880566733301305e-73,0.000185653407003,5.5062870887476384e-142,0.0
svd,1,6,6,2.6492467723468107e-141,0.0,4.3489737369775046e-150,0.0,4.1885704262861184e-67,2.846946026368298e-34,1.780769986858129e-141,0.0
svd,1,6,7,1.5427946525470864e-141,0.0,7.011852283024309e-149,0.0,4.858916565348976e-63,1.5992040851334203e-92,1.0167719325664864e-141,0.0
svd,1,6,8,1.4111536150526207e-141,0.0,2.248335696780783e-147,0.0,4.93271523766856e-66,1.1326029691220551e-101,8.40705385727599e-142,0.0
svd,1,6,9,2.70630216744822e-141,0.0,1.0098159817940536e-146,0.0,3.4977774142890867e-69,4.8615506665948255e-109,1.4002509631680596e-141,0.0
svd,1,6,10,8.456139543655251e-142,0.0,8.605504693658989e-146,0.0,2.3707354830372604e-71,1.4718349359615607e-121,3.690454629040112e-142,0.0
svd,1,7,5,5.8912164166148225e-143,0.0,1.5382902327279053e-150,0.0,6.637600173580948e-68,0.8077801960901378,4.867003310095924e-143,0.0
svd,1,7,6,2.695837970958624e-141,0.0,2.804027723008124e-151,0.0,8.096018832408321e-65,5.358014998842202e-05,2.124225460859566e-141,0.0
svd,1,7,7,1.2358760955051332e-140,0.0,3.46794139322755e-151,0.0,2.5045244988233163e-63,2.527951847883824e-24,9.428744187181308e-141,0.0
svd,1,7,8,8.777814880222885e-141,0.0,1.0320449596041857e-149,0.0,1.3128135206623823e-60,7.975612230871295e-61,6.197236644685428e-141,0.0
svd,1,7,9,1.6134984700345143e-140,0.0,1.1549502029681235e-148,0.0,3.7853407527860222e-62,4.955626273432989e-75,9.3200045851542e-141,0.0
svd,1,7,10,1.6998797139274475e-140,0.0,8.124866664679891e-148,0.0,4.338461040741021e-65,3.5579590798106955e-88,8.760859369020411e-141,0.0
svd,1,8,5,9.466067486272825e-144,0.0,3.194770703100411e-149,0.0,3.971707270169704e-58,0.0489940957854896,8.048709918752153e-144,0.0
svd,1,8,6,9.592827313741554e-142,0.0,2.8550867274921754e-151,0.0,1.616060189211046e-58,0.8028369683337149,7.254135582468508e-142,0.0
svd,1,8,7,8.559925975903065e-141,0.0,8.112426333785027e-152,0.0,8.065060891732327e-59,0.0001800253387188,6.708765944324749e-141,0.0
svd,1,8,8,2.918733375209312e-140,0.0,9.034234961217733e-151,0.0,3.275302551020993e-57,6.160553027322818e-17,2.0461396335083537e-140,0.0
svd,1,8,9,6.016111030217571e-140,0.0,4.6082706814877764e-150,0.0,1.6757879653277004e-56,3.397130289883579e-40,3.9285900965884114e-140,0.0
svd,1,8,10,3.5559550712302486e-139,0.0,1.0591544543975286e-149,0.0,5.327444823516233e-59,6.502143980326809e-51,1.925360051950761e-139,0.0
svd,1,9,5,1.7874543546314732e-144,0.0,2.3847583945257983e-148,0.0,1.4618795465406918e-48,0.0135898203461741,1.6143274331641975e-144,0.0
svd,1,9,6,1.022323811173681e-142,0.0,6.355236862237438e-150,0.0,1.4007293139453778e-48,0.2209079444329624,8.365396128052338e-143,0.0
svd,1,9,7,1.4341360962777014e-140,0.0,3.6388447071126223e-151,0.0,4.723756415426611e-52,0.5784417824348747,1.0857726427665462e-140,0.0
svd,1,9,8,1.679477698432786e-139,0.0,1.6216697291324038e-151,0.0,2.310959705504647e-54,0.0002991800475679,1.1899252281702608e-139,0.0
