emb_type,m,n,best_C,train_acc,test_acc,train_f,test_f
skipgram,1,8,7742.636826811277,0.9170560747663552,0.9267015706806284,0.9161197152500371,0.9263341903618321
cbow,1,8,100000.0,0.9485981308411215,0.9528795811518324,0.9483267306172423,0.9527864194373291
SVD,2,2,599.4842503189421,0.9961132704053304,1.0,0.9961131697456682,1.0
skipgram,2,2,100000.0,0.9813084112149532,0.9738219895287958,0.9812849510615432,0.973807631645636
cbow,2,2,3.593813663804626,0.7301401869158879,0.7172774869109948,0.727022552787257,0.7165784477302802
SVD,2,3,0.0016681005372,0.9733481399222654,0.9751243781094528,0.9733272183907269,0.9751243781094527
skipgram,2,3,100000.0,0.8019859813084113,0.7801047120418848,0.8002173856892578,0.7777913064653598
cbow,2,3,599.4842503189421,0.7172897196261683,0.6544502617801047,0.7085762448778041,0.650020628620904
SVD,2,4,599.4842503189421,0.8728484175458079,0.8706467661691543,0.8707117364912599,0.8688793270882823
skipgram,2,4,100000.0,0.8387850467289719,0.8010471204188482,0.832927717726199,0.7930803925568323
cbow,2,4,599.4842503189421,0.7546728971962616,0.7172774869109948,0.7349055335171115,0.6932470808626241
SVD,2,5,599.4842503189421,0.8289838978345364,0.8059701492537313,0.8237427773496357,0.7994143183940154
skipgram,2,5,100000.0,0.9129672897196262,0.9162303664921466,0.9119032992754407,0.9156758455289438
cbow,2,5,7742.636826811277,0.8691588785046729,0.8429319371727748,0.8659386976168737,0.8390977841239621
SVD,2,6,100000.0,0.9083842309827872,0.8805970149253731,0.9075848339872555,0.8792371807297181
skipgram,2,6,100000.0,0.945677570093458,0.9528795811518324,0.9453653542263492,0.9527864194373291
cbow,2,6,100000.0,0.9310747663551402,0.9319371727748692,0.9304988618098363,0.9316449692069598
SVD,2,7,100000.0,0.8489727928928373,0.8507462686567164,0.8453796593868788,0.8479320012968143
skipgram,2,7,100000.0,0.8545560747663551,0.837696335078534,0.850231374225348,0.8334541156811881
cbow,2,7,100000.0,0.8516355140186916,0.8324607329842932,0.8470627400805004,0.8277817084099808
SVD,2,8,0.0215443469003188,0.7851193781232648,0.7711442786069652,0.774569567605708,0.7599970190370461
skipgram,2,8,3.593813663804626,0.7587616822429907,0.7277486910994765,0.7399592185873303,0.7064378743579125
cbow,2,8,3.593813663804626,0.7593457943925234,0.7329842931937173,0.7406783649786648,0.7129469178264232
SVD,3,2,599.4842503189421,0.9927817878956136,1.0,0.9927812671070309,1.0
skipgram,3,2,7742.636826811277,0.959696261682243,0.9581151832460733,0.9596597251316532,0.9581014023236933
cbow,3,2,599.4842503189421,0.9789719626168224,0.9895287958115184,0.978945569944236,0.9895282217323413
SVD,3,3,599.4842503189421,0.960022209883398,0.965174129353234,0.9599537542558958,0.965162060085985
skipgram,3,3,0.2782559402207126,0.552570093457944,0.5235602094240838,0.4185869777849277,0.38607238711983954
cbow,3,3,599.4842503189421,0.9445093457943924,0.9424083769633508,0.9445288311581609,0.9423894245575799
SVD,3,4,0.0016681005372,0.8539700166574126,0.845771144278607,0.8507249028471041,0.8426419194148828
skipgram,3,4,599.4842503189421,0.8989485981308412,0.8848167539267016,0.8973605680808682,0.8833402095403013
cbow,3,4,7742.636826811277,0.8983644859813084,0.8952879581151832,0.896751530578435,0.894186336412076
SVD,3,5,100000.0,0.8872848417545808,0.8606965174129353,0.885797721853847,0.8584465313880039
skipgram,3,5,100000.0,0.929322429906542,0.9267015706806284,0.9287076055694726,0.9263341903618321
cbow,3,5,100000.0,0.9269859813084113,0.9267015706806284,0.926316642033321,0.9263341903618321
SVD,3,6,0.0215443469003188,0.7890061077179344,0.7711442786069652,0.7790336822546413,0.7599970190370461
skipgram,3,6,3.593813663804626,0.759929906542056,0.7329842931937173,0.7413968164443349,0.7129469178264232
cbow,3,6,3.593813663804626,0.759929906542056,0.7329842931937173,0.7413968164443349,0.7129469178264232
SVD,3,7,0.0215443469003188,0.7851193781232648,0.7711442786069652,0.774569567605708,0.7599970190370461
skipgram,3,7,3.593813663804626,0.758177570093458,0.7277486910994765,0.7392393748708402,0.7064378743579125
cbow,3,7,3.593813663804626,0.7587616822429907,0.7277486910994765,0.7399592185873303,0.7064378743579125
SVD,3,8,0.0215443469003188,0.7840088839533592,0.7711442786069652,0.7732899131089142,0.7599970190370461
skipgram,3,8,46.41588833612782,0.758177570093458,0.7277486910994765,0.7392393748708402,0.7064378743579125
cbow,3,8,46.41588833612782,0.758177570093458,0.7277486910994765,0.7392393748708402,0.7064378743579125
SVD,4,2,599.4842503189421,0.9911160466407553,0.9900497512437813,0.9911151262395635,0.9900512292961811
skipgram,4,2,46.41588833612782,0.953855140186916,0.9424083769633508,0.953671267765959,0.9422342454514618
cbow,4,2,46.41588833612782,0.8580607476635514,0.8586387434554974,0.8553695401463179,0.8562764887854877
SVD,4,3,599.4842503189421,0.9416990560799556,0.9502487562189056,0.9414906774032117,0.9501871462974408
skipgram,4,3,7742.636826811277,0.8358644859813084,0.806282722513089,0.8297023528776316,0.7989491595285056
cbow,4,3,599.4842503189421,0.8557242990654206,0.8219895287958116,0.8514343350749435,0.8163462266741145
SVD,4,4,0.0215443469003188,0.8284286507495836,0.8059701492537313,0.8231355330176974,0.7994143183940154
skipgram,4,4,100000.0,0.9199766355140186,0.9214659685863874,0.9191249639054896,0.9210114516621252
cbow,4,4,100000.0,0.923481308411215,0.9267015706806284,0.9227244057680739,0.9263341903618321
SVD,4,5,0.0215443469003188,0.7945585785674625,0.7860696517412935,0.7853722370605464,0.7770966253518199
skipgram,4,5,100000.0,0.7768691588785047,0.7539267015706806,0.7619401662066085,0.7384455297038339
cbow,4,5,100000.0,0.7792056074766355,0.7539267015706806,0.7647311813139234,0.7384455297038339
