emb_type,m,n,best_C,train_acc,test_acc,train_f,test_f
svd,1,14,0.2976351441631317,0.5969202898550725,0.6056910569105691,0.5395034306778476,0.5473868985101334
cbow,1,15,0.2976351441631317,0.602894617819991,0.5894308943089431,0.5442338867460451,0.5362284354550862
skipgram,1,15,0.2976351441631317,0.6024423337856174,0.5894308943089431,0.5438254708975551,0.5362284354550862
svd,1,15,0.2976351441631317,0.5991847826086957,0.6178861788617886,0.5416420648481427,0.5586076249112006
cbow,1,16,0.2976351441631317,0.6019900497512438,0.5894308943089431,0.5434591026825831,0.5362284354550862
skipgram,1,16,0.2976351441631317,0.6019900497512438,0.5894308943089431,0.5434591026825831,0.5362284354550862
svd,1,16,0.2976351441631317,0.5991847826086957,0.6178861788617886,0.5416611706614471,0.5586963240580786
cbow,1,17,0.2976351441631317,0.6033469018543646,0.5894308943089431,0.5446919573229785,0.5362284354550862
skipgram,1,17,0.2976351441631317,0.6033469018543646,0.5894308943089431,0.5446919573229785,0.5362284354550862
svd,1,17,0.2976351441631317,0.6000905797101449,0.6178861788617886,0.5425712728626929,0.5587425830565678
cbow,1,18,0.6951927961775606,0.5997286295793759,0.5772357723577236,0.5412319797704199,0.5251065456712659
skipgram,1,18,0.6951927961775606,0.5997286295793759,0.5772357723577236,0.5412319797704199,0.5251065456712659
svd,1,18,0.2976351441631317,0.6000905797101449,0.6138211382113821,0.5425986188215223,0.5550696882751206
cbow,1,19,0.6951927961775606,0.6015377657168702,0.5853658536585366,0.5428897666292573,0.5325486350779937
skipgram,1,19,0.6951927961775606,0.6015377657168702,0.5853658536585366,0.5428897666292573,0.5325486350779937
svd,1,19,0.2976351441631317,0.6014492753623188,0.6138211382113821,0.5438763996842323,0.5550696882751206
cbow,1,20,0.6951927961775606,0.6024423337856174,0.5813008130081301,0.5437706819742486,0.5288428911849109
skipgram,1,20,0.6951927961775606,0.6024423337856174,0.5813008130081301,0.5437706819742486,0.5288428911849109
svd,1,20,0.2976351441631317,0.5991847826086957,0.6138211382113821,0.5417795685304407,0.5550696882751206
cbow,2,2,3359.818286283781,0.9728629579375848,0.9634146341463414,0.9728145608066155,0.9632424851013439
skipgram,2,2,100000.0,0.4694708276797829,0.4674796747967479,0.4292406329262568,0.43029441944904884
svd,2,2,48.32930238571752,0.955952380952381,0.9535714285714286,0.9583487941656456,0.9593797973842628
cbow,2,3,112.88378916846884,0.9764812302125736,0.9552845528455284,0.976469470412277,0.9552611421737833
skipgram,2,3,100000.0,0.9308005427408412,0.9146341463414634,0.9306643648119445,0.914357466660389
svd,2,3,0.2976351441631317,0.954059405940594,0.9430604982206404,0.9185145238409497,0.9265961697845134
cbow,2,4,3359.818286283781,0.9565807327001355,0.9390243902439024,0.9565078252250999,0.9389785903937593
skipgram,2,4,263.6650898730355,0.8014473089099955,0.7845528455284553,0.7941561587673582,0.7762635967831335
svd,2,4,7847.5997035146065,0.9379446640316206,0.953900709219858,0.9433982300111906,0.9553405113925996
