emb_type,m,n,best_C,train_acc,test_acc,train_f,test_f
skipgram,2,6,0.1,0.7088607594936709,0.7326732673267327,0.7085137198887329,0.7316340186650243
cbow,2,6,0.1,0.6851953769950467,0.6782178217821783,0.6833551596437971,0.6721480054733573
svd,2,7,1000.0,0.7105118326912493,0.6584158415841584,0.7095261047176802,0.6572794443987636
skipgram,2,7,10.0,0.7319757842597688,0.7475247524752475,0.7314195267143502,0.7467392823057412
cbow,2,7,0.4641588833612777,0.7292239955971381,0.7475247524752475,0.7283506896701787,0.7453639197215406
svd,2,8,46.41588833612773,0.7336268574573472,0.7029702970297029,0.7328280518984075,0.7030285552827127
skipgram,2,8,10.0,0.7336268574573472,0.7425742574257426,0.7332241453794806,0.7419599372684607
cbow,2,8,2.154434690031882,0.7319757842597688,0.7425742574257426,0.7315043970733831,0.7419599372684607
svd,2,9,46.41588833612773,0.7380297193175565,0.6881188118811881,0.7374911396009675,0.6879581075516459
skipgram,2,9,215.44346900318823,0.732526141992295,0.7425742574257426,0.7321470299718595,0.7419599372684607
cbow,2,9,46.41588833612773,0.7336268574573472,0.7425742574257426,0.7332493055686831,0.7419599372684607
svd,2,10,0.4641588833612777,0.7358282883874518,0.6881188118811881,0.7345560930394232,0.6854672184486001
skipgram,2,10,46.41588833612773,0.732526141992295,0.7425742574257426,0.7321470299718595,0.7419599372684607
cbow,2,10,215.44346900318823,0.7319757842597688,0.7425742574257426,0.7315833165769694,0.7419599372684607
svd,2,11,46.41588833612773,0.732526141992295,0.7425742574257426,0.7321470299718595,0.7419599372684607
skipgram,2,11,46.41588833612773,0.7319757842597688,0.7425742574257426,0.7315833165769694,0.7419599372684607
cbow,2,11,10.0,0.7308750687947165,0.7425742574257426,0.7304552379186638,0.7419599372684607
svd,2,12,46.41588833612773,0.7319757842597688,0.7425742574257426,0.7315833165769694,0.7419599372684607
skipgram,2,12,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,2,12,46.41588833612773,0.7319757842597688,0.7425742574257426,0.7315833165769694,0.7419599372684607
