emb_type,m,n,best_C,train_acc,test_acc,train_f,test_f
cbow,3,2,7742.636826811277,0.9284525790349416,0.945273631840796,0.9037190188222126,0.9284329526078527
SVD,3,3,0.0016681005372,0.777148253068933,0.8008474576271186,0.712306397747538,0.7431969888058971
skipgram,3,3,0.2782559402207126,0.5435385468663338,0.5373134328358209,0.426273578439782,0.4023599583301076
cbow,3,3,7742.636826811277,0.8935108153078203,0.8905472636815921,0.8697064619548898,0.8745462295697511
SVD,3,4,0.0215443469003188,0.6874409820585458,0.690677966101695,0.6265936772637314,0.6375296563758887
skipgram,3,4,7742.636826811277,0.8408208541320022,0.8756218905472637,0.81677462972763,0.85821064859501
cbow,3,4,7742.636826811277,0.8435940099833611,0.8706467661691543,0.8194222593943531,0.853091371337147
SVD,3,5,100000.0,0.7379603399433428,0.7542372881355932,0.6769039060226346,0.698546403147446
skipgram,3,5,100000.0,0.8646699944536883,0.9054726368159204,0.839663922032218,0.8884528684927376
cbow,3,5,100000.0,0.8618968386023295,0.900497512437811,0.8368580447600074,0.8834102216191768
SVD,3,6,0.0215443469003188,0.6742209631728046,0.6822033898305084,0.6141279963942573,0.6290296036021343
skipgram,3,6,3.593813663804626,0.7215751525235718,0.7711442786069652,0.6879431778296458,0.7475427202191786
cbow,3,6,3.593813663804626,0.7215751525235718,0.7711442786069652,0.6879431778296458,0.7475427202191786
SVD,3,7,0.0215443469003188,0.6718602455146364,0.6822033898305084,0.6117685607971898,0.6290296036021343
skipgram,3,7,3.593813663804626,0.7215751525235718,0.7711442786069652,0.6879431778296458,0.7475427202191786
cbow,3,7,3.593813663804626,0.7215751525235718,0.7711442786069652,0.6879431778296458,0.7475427202191786
SVD,3,8,0.0215443469003188,0.6713881019830028,0.6822033898305084,0.6112702606161562,0.6290296036021343
skipgram,3,8,46.41588833612782,0.7215751525235718,0.7711442786069652,0.6879431778296458,0.7475427202191786
cbow,3,8,3.593813663804626,0.7215751525235718,0.7711442786069652,0.6879431778296458,0.7475427202191786
SVD,4,2,0.0016681005372,0.8418319169027384,0.864406779661017,0.7768776035906733,0.8050613748382348
