emb_type,m,n,best_C,train_acc,test_acc,train_f,test_f
skipgram,3,7,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,3,7,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,3,8,3.593813663804626,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
skipgram,3,8,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,3,8,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,4,2,0.2782559402207126,0.7469186524239935,0.7647058823529411,0.6527161825803451,0.6697973306969845
skipgram,4,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,4,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,4,3,1e-05,0.7378800328677074,0.7573529411764706,0.6265874889032637,0.6527811961604726
skipgram,4,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,4,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,4,4,0.2782559402207126,0.7452752670501233,0.7573529411764706,0.6477898528567937,0.6527811961604726
skipgram,4,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,4,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,4,5,46.41588833612782,0.7469186524239935,0.7573529411764706,0.6513977914300091,0.6527811961604726
skipgram,4,5,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,4,5,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,4,6,3.593813663804626,0.7469186524239935,0.7573529411764706,0.6513977914300091,0.6527811961604726
skipgram,4,6,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,4,6,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,4,7,3.593813663804626,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
skipgram,4,7,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,4,7,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,4,8,3.593813663804626,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
skipgram,4,8,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,4,8,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,5,2,0.2782559402207126,0.7460969597370584,0.7573529411764706,0.6509294429017206,0.6527811961604726
skipgram,5,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,5,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,5,3,1e-05,0.7378800328677074,0.7573529411764706,0.6265874889032637,0.6527811961604726
skipgram,5,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,5,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,5,4,3.593813663804626,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
skipgram,5,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,5,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,5,5,0.2782559402207126,0.7452752670501233,0.7573529411764706,0.6477898528567937,0.6527811961604726
skipgram,5,5,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,5,5,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,5,6,46.41588833612782,0.7469186524239935,0.7573529411764706,0.6513977914300091,0.6527811961604726
skipgram,5,6,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,5,6,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,5,7,3.593813663804626,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
skipgram,5,7,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,5,7,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,5,8,3.593813663804626,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
skipgram,5,8,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,5,8,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,6,2,0.2782559402207126,0.7345932621199671,0.75,0.6551396484775857,0.6728520017993703
skipgram,6,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,6,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,6,3,0.2782559402207126,0.7452752670501233,0.7573529411764706,0.6477898528567937,0.6527811961604726
skipgram,6,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,6,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,6,4,3.593813663804626,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
skipgram,6,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,6,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,6,5,3.593813663804626,0.7469186524239935,0.7573529411764706,0.6513977914300091,0.6527811961604726
skipgram,6,5,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,6,5,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,6,6,46.41588833612782,0.7469186524239935,0.7573529411764706,0.6513977914300091,0.6527811961604726
skipgram,6,6,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,6,6,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,6,7,46.41588833612782,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
skipgram,6,7,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,6,7,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,6,8,3.593813663804626,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
skipgram,6,8,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,6,8,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,7,2,0.2782559402207126,0.7354149548069022,0.7573529411764706,0.6544993773622383,0.6772333660318641
skipgram,7,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,7,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
