emb_type,m,n,k,RMSSTD-lit-gpt-p-val
SVD,5,4,10,0.0
SVD,5,5,2,0.0
SVD,5,5,4,0.0
SVD,5,5,6,0.0
SVD,5,5,8,0.0
SVD,5,5,10,0.0
SVD,5,6,2,0.0
SVD,5,6,4,0.0
SVD,5,6,6,0.0
SVD,5,6,8,0.0
SVD,5,6,10,0.0
SVD,5,7,2,0.0
SVD,5,7,4,0.0
SVD,5,7,6,0.0
SVD,5,7,8,0.0
SVD,5,7,10,0.0
SVD,5,8,2,0.0
SVD,5,8,4,0.0
SVD,5,8,6,0.0
SVD,5,8,8,0.0
SVD,5,8,10,0.0
SVD,5,9,2,0.0
SVD,5,9,4,0.0
SVD,5,9,6,0.0
SVD,5,9,8,0.0
SVD,5,9,10,0.0
SVD,5,10,2,0.0
SVD,5,10,4,0.0
SVD,5,10,6,0.0
SVD,5,10,8,0.0
SVD,5,10,10,0.0
SVD,6,2,2,1.4185632074883308e-284
SVD,6,2,4,0.0
SVD,6,2,6,0.0
SVD,6,2,8,0.0
SVD,6,2,10,0.0
SVD,6,3,2,4.6254342289328e-310
SVD,6,3,4,0.0
SVD,6,3,6,0.0
SVD,6,3,8,0.0
SVD,6,3,10,0.0
SVD,6,4,2,0.0
SVD,6,4,4,0.0
SVD,6,4,6,0.0
SVD,6,4,8,0.0
SVD,6,4,10,0.0
SVD,6,5,2,0.0
SVD,6,5,4,0.0
SVD,6,5,6,0.0
SVD,6,5,8,0.0
SVD,6,5,10,0.0
SVD,6,6,2,0.0
SVD,6,6,4,0.0
SVD,6,6,6,0.0
SVD,6,6,8,0.0
SVD,6,6,10,0.0
SVD,6,7,2,0.0
SVD,6,7,4,0.0
SVD,6,7,6,0.0
SVD,6,7,8,0.0
SVD,6,7,10,0.0
SVD,6,8,2,0.0
SVD,6,8,4,0.0
SVD,6,8,6,0.0
SVD,6,8,8,0.0
SVD,6,8,10,0.0
SVD,6,9,2,0.0
SVD,6,9,4,0.0
SVD,6,9,6,0.0
SVD,6,9,8,0.0
SVD,6,9,10,0.0
SVD,6,10,2,0.0
SVD,6,10,4,0.0
SVD,6,10,6,0.0
SVD,6,10,8,0.0
SVD,6,10,10,0.0
SVD,7,2,2,3.37818293130008e-273
SVD,7,2,4,0.0
SVD,7,2,6,0.0
SVD,7,2,8,0.0
SVD,7,2,10,0.0
SVD,7,3,2,0.0
SVD,7,3,4,0.0
SVD,7,3,6,0.0
SVD,7,3,8,0.0
SVD,7,3,10,0.0
SVD,7,4,2,0.0
SVD,7,4,4,0.0
SVD,7,4,6,0.0
SVD,7,4,8,0.0
SVD,7,4,10,0.0
SVD,7,5,2,0.0
SVD,7,5,4,0.0
SVD,7,5,6,0.0
SVD,7,5,8,0.0
SVD,7,5,10,0.0
SVD,7,6,2,0.0
SVD,7,6,4,0.0
SVD,7,6,6,0.0
SVD,7,6,8,0.0
SVD,7,6,10,0.0
SVD,7,7,2,0.0
SVD,7,7,4,0.0
SVD,7,7,6,0.0
SVD,7,7,8,0.0
SVD,7,7,10,0.0
SVD,7,8,2,0.0
SVD,7,8,4,0.0
SVD,7,8,6,0.0
SVD,7,8,8,0.0
SVD,7,8,10,0.0
SVD,7,9,2,0.0
SVD,7,9,4,0.0
SVD,7,9,6,0.0
SVD,7,9,8,0.0
SVD,7,9,10,0.0
SVD,7,10,2,0.0
SVD,7,10,4,0.0
SVD,7,10,6,0.0
SVD,7,10,8,0.0
SVD,7,10,10,0.0
SVD,8,2,2,1.3737834244826237e-285
SVD,8,2,4,0.0
SVD,8,2,6,0.0
SVD,8,2,8,0.0
SVD,8,2,10,0.0
SVD,8,3,2,0.0
SVD,8,3,4,0.0
SVD,8,3,6,0.0
SVD,8,3,8,0.0
SVD,8,3,10,0.0
SVD,8,4,2,0.0
SVD,8,4,4,0.0
SVD,8,4,6,0.0
SVD,8,4,8,0.0
SVD,8,4,10,0.0
SVD,8,5,2,0.0
SVD,8,5,4,0.0
SVD,8,5,6,0.0
SVD,8,5,8,0.0
SVD,8,5,10,0.0
SVD,8,6,2,0.0
SVD,8,6,4,0.0
SVD,8,6,6,0.0
SVD,8,6,8,0.0
SVD,8,6,10,0.0
SVD,8,7,2,0.0
SVD,8,7,4,0.0
SVD,8,7,6,0.0
SVD,8,7,8,0.0
SVD,8,7,10,0.0
SVD,8,8,2,0.0
SVD,8,8,4,0.0
SVD,8,8,6,0.0
SVD,8,8,8,0.0
SVD,8,8,10,0.0
SVD,8,9,2,0.0
SVD,8,9,4,0.0
SVD,8,9,6,0.0
SVD,8,9,8,0.0
SVD,8,9,10,0.0
SVD,8,10,2,0.0
SVD,8,10,4,0.0
SVD,8,10,6,0.0
SVD,8,10,8,0.0
SVD,8,10,10,0.0
skipgram,1,2,2,3.485187962725898e-122
skipgram,1,2,4,1.1336781001398238e-159
skipgram,1,2,6,1.0480868627690484e-167
skipgram,1,2,8,3.8566656399358283e-166
skipgram,1,2,10,5.791609960520858e-150
skipgram,1,3,2,1.3169628420937638e-163
skipgram,1,3,4,7.473423767710632e-190
skipgram,1,3,6,7.55767279277455e-194
skipgram,1,3,8,1.3610573655618115e-189
skipgram,1,3,10,5.981774640775956e-185
skipgram,1,4,2,1.4440120177393046e-183
skipgram,1,4,4,1.9060766731264078e-203
skipgram,1,4,6,8.250891059905101e-203
skipgram,1,4,8,1.1699445428055309e-198
skipgram,1,4,10,9.044332796789103e-194
skipgram,1,5,2,3.036177595735197e-193
skipgram,1,5,4,1.7728112677564766e-208
skipgram,1,5,6,1.9224303748757917e-206
skipgram,1,5,8,2.8358911918701873e-203
skipgram,1,5,10,4.484183849142906e-198
skipgram,1,6,2,1.5207332859965488e-201
skipgram,1,6,4,6.234699023698787e-211
skipgram,1,6,6,1.8417743771911823e-208
skipgram,1,6,8,1.4426098752094616e-205
skipgram,1,6,10,3.444659749282831e-199
skipgram,1,7,2,6.423756620657333e-206
skipgram,1,7,4,1.4983483288565345e-211
skipgram,1,7,6,3.843041690316358e-210
skipgram,1,7,8,2.4239569390506393e-207
skipgram,1,7,10,1.2942224668344064e-200
skipgram,1,8,2,6.253774424859248e-208
skipgram,1,8,4,1.1679451494292624e-212
skipgram,1,8,6,4.327905795963953e-211
skipgram,1,8,8,9.585003399462664e-208
skipgram,1,8,10,6.547639374956048e-201
skipgram,1,9,2,1.2757956663976387e-210
skipgram,1,9,4,1.820557859038675e-213
skipgram,1,9,6,1.0589171000537004e-211
skipgram,1,9,8,8.693236294660876e-208
skipgram,1,9,10,6.255659217272931e-199
skipgram,1,10,2,4.347882004983192e-211
skipgram,1,10,4,6.988265449251944e-213
skipgram,1,10,6,5.989562655511118e-211
skipgram,1,10,8,1.1902332847741265e-205
skipgram,1,10,10,1.895602149357038e-195
skipgram,2,2,2,9.093850058322348e-68
skipgram,2,2,4,1.2527065646322557e-117
