emb_type,m,n,k,RMSSTD-lit-gpt-p-val
skipgram,2,8,4,2.3668896507033856e-15
skipgram,2,8,6,1.1181528877536837e-14
skipgram,2,8,8,2.1598141592935322e-14
skipgram,2,8,10,3.083038825725242e-14
skipgram,2,9,2,2.994799505845888e-15
skipgram,2,9,4,5.798106071904187e-15
skipgram,2,9,6,1.8763648818575683e-14
skipgram,2,9,8,2.2338774452014884e-14
skipgram,2,9,10,2.1356673414609097e-14
skipgram,2,10,2,4.580199657483623e-15
skipgram,2,10,4,8.292048073334214e-15
skipgram,2,10,6,1.611287734626786e-14
skipgram,2,10,8,2.1177316907944317e-14
skipgram,2,10,10,2.227611259878585e-14
skipgram,3,2,2,0.036499824266851465
skipgram,3,2,4,1.4986198167921378e-05
skipgram,3,2,6,2.100850848098195e-06
skipgram,3,2,8,1.271465146227898e-06
skipgram,3,2,10,1.4518647457826546e-06
skipgram,3,3,2,0.004734833411939137
skipgram,3,3,4,0.0001035410356887819
skipgram,3,3,6,5.291804046716497e-05
skipgram,3,3,8,0.0002035787215615406
skipgram,3,3,10,0.0002001115143182502
skipgram,3,4,2,0.0001421316807549251
skipgram,3,4,4,7.44307299656949e-05
skipgram,3,4,6,4.567459901386618e-05
skipgram,3,4,8,0.00011853614842932478
skipgram,3,4,10,0.00011057149896081503
skipgram,3,5,2,2.1575803734257597e-05
skipgram,3,5,4,2.4468554215860203e-05
skipgram,3,5,6,6.003311872295441e-05
skipgram,3,5,8,6.93022314700609e-05
skipgram,3,5,10,4.689760351859618e-05
skipgram,3,6,2,1.6723175436074663e-05
skipgram,3,6,4,3.083890045043785e-05
skipgram,3,6,6,4.050411680514593e-05
skipgram,3,6,8,4.3725929599208685e-05
skipgram,3,6,10,4.018833474699519e-05
skipgram,3,7,2,1.6887754925951148e-05
skipgram,3,7,4,3.852308929041101e-05
skipgram,3,7,6,3.5498755175576306e-05
skipgram,3,7,8,2.917072568591555e-05
skipgram,3,7,10,2.4705248322341817e-05
skipgram,3,8,2,9.882067472332705e-06
skipgram,3,8,4,2.8939535747752556e-05
skipgram,3,8,6,2.9827433546370758e-05
skipgram,3,8,8,2.510458588276592e-05
skipgram,3,8,10,2.384787164630694e-05
skipgram,3,9,2,5.977007038093257e-06
skipgram,3,9,4,2.9874875018742948e-05
skipgram,3,9,6,2.3392221666968132e-05
skipgram,3,9,8,2.1304265464704307e-05
skipgram,3,9,10,2.175622726648697e-05
skipgram,3,10,2,1.4691686252869371e-05
skipgram,3,10,4,2.4234018499492803e-05
skipgram,3,10,6,2.05930005936418e-05
skipgram,3,10,8,1.9711696600246922e-05
skipgram,3,10,10,1.9616021566609067e-05
skipgram,4,2,2,0.0006137427882316076
skipgram,4,2,4,0.003141126183060627
skipgram,4,2,6,0.004160271905784902
skipgram,4,2,8,0.009212088679474848
skipgram,4,2,10,0.007920008263225422
skipgram,4,3,2,0.016581280111313317
skipgram,4,3,4,0.05825012661732756
skipgram,4,3,6,0.10611007568038033
skipgram,4,3,8,0.2507851603980792
skipgram,4,3,10,0.24574498130779987
skipgram,4,4,2,0.06641423879136645
skipgram,4,4,4,0.13422083982416969
skipgram,4,4,6,0.21165308853388354
skipgram,4,4,8,0.2560484913786544
skipgram,4,4,10,0.2492953214539566
skipgram,4,5,2,0.09576588150162259
skipgram,4,5,4,0.18576632980088392
skipgram,4,5,6,0.23445178701996183
skipgram,4,5,8,0.22852542167073964
skipgram,4,5,10,0.21578426514229476
skipgram,4,6,2,0.10519059016113455
skipgram,4,6,4,0.21152078322345103
skipgram,4,6,6,0.21086015343663145
skipgram,4,6,8,0.19770758013789413
skipgram,4,6,10,0.18794096695714801
skipgram,4,7,2,0.09163305804308451
skipgram,4,7,4,0.19947642666055898
skipgram,4,7,6,0.16937168368973166
skipgram,4,7,8,0.17027183375210664
skipgram,4,7,10,0.16993385827691998
skipgram,4,8,2,0.12959509054525645
skipgram,4,8,4,0.17196927020380848
skipgram,4,8,6,0.1602422464024087
skipgram,4,8,8,0.15756664878481152
skipgram,4,8,10,0.1573540721236124
skipgram,4,9,2,0.13069711194118733
